1,"78"
2,"225"
3,"156"
4,"204"
5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
6,"179"
7,"189,267,171"
8,"130,15,51,209,13,6"
9,"76,76,204,204,56,56,207,207"
10,"115,184,266"
11,"104,72"
12,"239,258,245,187"
13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
14,"227,1,69,273,81"
15,"34,191,280,160,125,147,269,10,35"
16,"34,191,217,281,160,125,147,10,35"
17,"112,157,276,263,170,139,204"
18,"37,128"
19,"53,266,79,78"
20,"103,54"
21,"265,119,241,108,168"
22,"74,258"
23,"149,149,149,112"
24,"118"
25,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
26,"34,205,234"
27,"243,185,115,21"
28,"145,103,286,243,62,205,17,96,8,35,116"
29,"234"
30,"180,205,110,112,190"
31,"188,193,191,190,189,192,195,194,198,196"
32,"33,34,131,128,133,124,129"
33,"0,1"
34,"272"
35,"235,121"
36,"247,265,193,49,72,272,276"
37,"140"
38,"188"
39,"247"
40,"140,49,235,50,197"
41,"191,185,200"
42,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
43,"123,59,265,64,275,37"
44,"280,147,61,142,169,88"
45,"89,55,198,166,99"
46,"286"
47,"29"
48,"169"
49,"148,199,203,123,257,151,82,98,118,191,281,122,51,92,66,73,158,157,43,2"
50,"231,44,94,78,127,109,118,241,86,122,55,60,19,222,92,1,69"
51,"102,231,33,180,32,213,54,20,122,89,51,198,14,155,90,194,172,61,260,264"
52,"4,276,284,120,133,129,131,124,185"
53,"258"
54,"52,132"
55,"268"
56,"134,237,180,240,239,47,152,137,221,151,68,101,118,193,243,185,206,17,92,234"
57,"282,141,48,277,20,247,198,19,143,111,190,52,174,153,279,261,11,189,70"
58,"44,239,72,106,137,85,87,77,112,155,172,174,204,278,276,258,285,204,88,252"
59,"28,43,85,51,190,202,254,265,232,280"
60,"191,125,274,197,242,256,27"
61,"255,2,40,238,125,114,165,242"
62,"135,59,243,19,205,222,57,65,200,278,262,277"
63,"114,276"
64,"240,239,76,213,230"
65,"179,7,130,93,68,265,193,132,43,194,35,219"
66,"197,238,28,40,30,45,193"
67,"91,82"
68,"142"
69,"89,55,166,149"
70,"142,181"
71,"20,153,272,159,181"
72,"197,198,199,200,201"
73,"105,106,107"
74,"101,132,163"
75,"1,2,3,4"
76,"83,156,104,153"
77,"247"
78,"76,151,233,118,193,140,138,227,1,46,266,157,155,194,254,125,72,269,189,20"
79,"32,203,239,7,48,259"
80,"103,213,68,247,265,286,193,30,122,89,83,111,53,174,155,26,194,63,238"
81,"134,233,243,241,226,75,162,249,56,26,38,195,96,230,153,154,155,156,157,158"
82,"96,209,72,261,114,260,219,258"
83,"152,190"
84,"154,158,160"
85,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
86,"0,1,2,3,4,5,6,7,8,9"
87,"271"
88,"1,2,3,4,5,6,7,8,9,10"
89,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
90,"128,9,242,103,223,276,34,146,151,156"
91,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
92,"267,156"
93,"174,192"
94,"32,203,239,7,48,144,15,20,259,266,138,89,53,79,188,268,266,79"
95,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
96,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
97,"243,205,72,260,96,169"
98,"89,209,115,52,132,86,9"
99,"233,193"
100,"54,89,166"
